Bulgaria, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 01/12/2022
Year  ARDY   Cohort       Total
1962    39    1923       827.29
1962    40    1922       678.27
1962    41    1921       519.74
1962    42    1920       398.52
1962    43    1919       198.53
1962    44    1918       109.01
1962    45    1917        66.73
1962    46    1916        53.30
1962    47    1915        40.30
1962    48    1914        34.21
1962    49    1913        15.64
1962    50    1912        18.26
1962    51    1911        13.82
1962    52    1910         7.28
1962    53    1909         2.25
1962    54    1908         0.63
1962    55+   1907-        0.06
1963    12-   1951+        0.02
1963    13    1950         2.33
1963    14    1949        52.67
1963    15    1948       303.75
1963    16    1947       892.12
1963    17    1946      2679.28
1963    18    1945      5216.19
1963    19    1944      8083.97
1963    20    1943     10160.99
1963    21    1942     11314.00
1963    22    1941     10794.16
1963    23    1940     10404.21
1963    24    1939      8964.99
1963    25    1938      8629.72
1963    26    1937      7932.00
1963    27    1936      7636.95
1963    28    1935      6432.65
1963    29    1934      6149.02
1963    30    1933      5074.70
1963    31    1932      4336.99
1963    32    1931      3312.58
1963    33    1930      2925.73
1963    34    1929      2107.12
1963    35    1928      1916.51
1963    36    1927      1500.29
1963    37    1926      1349.01
1963    38    1925      1044.45
1963    39    1924       884.72
1963    40    1923       612.63
1963    41    1922       480.69
1963    42    1921       356.96
1963    43    1920       266.64
1963    44    1919       131.41
1963    45    1918        66.19
1963    46    1917        28.29
1963    47    1916        24.03
1963    48    1915        25.47
1963    49    1914        13.03
1963    50    1913         9.26
1963    51    1912        16.34
1963    52    1911         7.45
1963    53    1910         2.75
1963    54    1909         0.67
1963    55+   1908-        0.07
1964    12-   1952+        0.02
1964    13    1951         2.04
1964    14    1950        58.66
1964    15    1949       308.03
1964    16    1948      1019.20
1964    17    1947      2537.62
1964    18    1946      5823.66
1964    19    1945      8739.47
1964    20    1944     10730.45
1964    21    1943     11395.91
1964    22    1942     11386.95
1964    23    1941     10256.62
1964    24    1940      9613.19
1964    25    1939      8072.61
1964    26    1938      7450.23
1964    27    1937      6627.44
1964    28    1936      6200.05
1964    29    1935      5172.41
1964    30    1934      4963.43
1964    31    1933      3954.12
1964    32    1932      3443.67
1964    33    1931      2629.68
1964    34    1930      2303.62
1964    35    1929      1726.96
1964    36    1928      1498.18
1964    37    1927      1181.24
1964    38    1926      1045.76
1964    39    1925       761.48
1964    40    1924       630.29
1964    41    1923       446.57
1964    42    1922       348.23
1964    43    1921       227.70
1964    44    1920       180.97
1964    45    1919        95.61
1964    46    1918        44.56
1964    47    1917        20.97
1964    48    1916        18.83
1964    49    1915        16.07
1964    50    1914        10.67
1964    51    1913         6.73
1964    52    1912         5.65
1964    53    1911         1.80
1964    54    1910         0.59
1964    55+   1909-        0.06
1965    12-   1953+        0.02
1965    13    1952         2.27
1965    14    1951        56.36
1965    15    1950       389.70
1965    16    1949      1118.10
1965    17    1948      2771.96
1965    18    1947      5131.73
1965    19    1946      8925.14
1965    20    1945     10782.27
1965    21    1944     11016.04
1965    22    1943     10662.72
1965    23    1942     10221.96
1965    24    1941      8986.48
1965    25    1940      8174.95
1965    26    1939      6899.60
1965    27    1938      6278.19
1965    28    1937      5499.37
1965    29    1936      5048.70
1965    30    1935      4225.93
1965    31    1934      3872.61
1965    32    1933      3111.71
1965    33    1932      2660.98
1965    34    1931      1994.04
1965    35    1930      1736.86
1965    36    1929      1323.18
1965    37    1928      1203.21
1965    38    1927       934.41
1965    39    1926       840.38
1965    40    1925       597.77
1965    41    1924       443.36
1965    42    1923       301.21
1965    43    1922       230.70
1965    44    1921       135.26
1965    45    1920        89.93
1965    46    1919        45.84
1965    47    1918        21.88
1965    48    1917        12.36
1965    49    1916         8.53
1965    50    1915        11.64
1965    51    1914        15.04
1965    52    1913         5.13
1965    53    1912         2.79
1965    54    1911         0.63
1965    55+   1910-        0.07
1966    12-   1954+        0.02
1966    13    1953         2.14
1966    14    1952        56.11
1966    15    1951       328.24
1966    16    1950      1157.40
1966    17    1949      2729.52
1966    18    1948      5304.51
1966    19    1947      7959.46
1966    20    1946     11589.41
1966    21    1945     11913.87
1966    22    1944     10696.27
1966    23    1943      9822.21
1966    24    1942      8969.22
1966    25    1941      7971.25
1966    26    1940      7028.62
1966    27    1939      5915.20
1966    28    1938      5252.96
1966    29    1937      4447.98
1966    30    1936      4020.64
1966    31    1935      3384.12
1966    32    1934      3024.31
1966    33    1933      2322.06
1966    34    1932      1981.30
1966    35    1931      1591.69
1966    36    1930      1354.22
1966    37    1929       973.32
1966    38    1928       831.80
1966    39    1927       658.19
1966    40    1926       577.61
1966    41    1925       381.05
1966    42    1924       283.11
1966    43    1923       175.14
1966    44    1922       124.34
1966    45    1921        74.31
1966    46    1920        55.00
1966    47    1919        32.41
1966    48    1918        16.18
1966    49    1917         6.57
1966    50    1916         6.11
1966    51    1915        11.74
1966    52    1914         7.07
1966    53    1913         1.56
1966    54    1912         0.70
1966    55+   1911-        0.06
1967    12-   1955+        0.02
1967    13    1954         2.21
1967    14    1953        59.32
1967    15    1952       358.08
1967    16    1951       994.81
1967    17    1950      2849.01
1967    18    1949      5485.47
1967    19    1948      8659.78
1967    20    1947     11002.97
1967    21    1946     13151.19
1967    22    1945     11693.04
1967    23    1944      9966.88
1967    24    1943      9063.37
1967    25    1942      8128.54
1967    26    1941      7073.92
1967    27    1940      6132.48
1967    28    1939      4850.06
1967    29    1938      4291.29
1967    30    1937      3772.38
1967    31    1936      3300.06
1967    32    1935      2613.45
1967    33    1934      2388.75
1967    34    1933      1873.18
1967    35    1932      1572.96
1967    36    1931      1227.94
1967    37    1930      1045.88
1967    38    1929       738.90
1967    39    1928       608.22
1967    40    1927       472.25
1967    41    1926       413.22
1967    42    1925       286.70
1967    43    1924       188.03
1967    44    1923       111.45
1967    45    1922        78.79
1967    46    1921        61.58
1967    47    1920        31.88
1967    48    1919        11.13
1967    49    1918         6.12
1967    50    1917         4.01
1967    51    1916         5.46
1967    52    1915         4.76
1967    53    1914         1.99
1967    54    1913         0.39
1967    55+   1912-        0.07
1968    12-   1956+        0.02
1968    13    1955         2.38
1968    14    1954        61.78
1968    15    1953       402.11
1968    16    1952      1214.72
1968    17    1951      2659.27
